날짜,요일,7일 전 가동,일평균전력,증강 불일치,학습 레짐(일평균 기준)
2021-01-01,금,False,46.25,False,1
2021-01-05,화,False,21.916666666666668,False,0
2021-01-06,수,False,21.916666666666668,False,0
2021-01-12,화,False,21.916666666666668,False,0
2021-01-13,수,False,21.916666666666668,False,0
2021-01-19,화,False,21.916666666666668,False,0
2021-01-20,수,False,21.916666666666668,False,0
2021-01-26,화,False,21.916666666666668,False,0
2021-01-27,수,False,21.916666666666668,False,0
2021-02-11,목,True,127.33333333333333,True,2
2021-02-12,금,True,47.333333333333336,False,1
2021-03-01,월,True,128.95833333333334,True,2
2021-03-05,금,True,21.916666666666668,False,0
2021-03-12,금,False,21.916666666666668,False,0
2021-03-19,금,False,21.916666666666668,False,0
2021-03-26,금,False,21.916666666666668,False,0
2021-03-31,수,True,21.916666666666668,False,0
