ts,방식,y_avg,y_peak,pred_avg,pred_peak
2021-07-13 00:00:00,A,69.0,70.0,65.37741058742601,66.60268563958125
2021-07-13 01:00:00,A,96.0,119.0,106.4281805974434,116.00771162561075
2021-07-13 02:00:00,A,112.0,117.0,107.05711789057517,118.91387207814726
2021-07-13 03:00:00,A,110.0,115.0,106.61967661393822,118.82598538642382
2021-07-13 04:00:00,A,106.0,112.0,103.5058743743615,116.85880678288045
2021-07-13 05:00:00,A,143.0,162.0,94.72950021085502,115.00627373186958
2021-07-13 06:00:00,A,123.0,125.0,113.86894818615426,119.31056938431648
2021-07-13 07:00:00,A,111.0,113.0,127.1202412480631,154.7442956510947
2021-07-13 08:00:00,A,102.0,112.0,176.2052348898438,181.14500772185255
2021-07-13 09:00:00,A,112.0,118.0,172.31604207389339,180.99124356258392
2021-07-13 10:00:00,A,124.0,138.0,175.81150484738973,182.66564039716872
2021-07-13 11:00:00,A,139.0,167.0,176.9378062906678,182.148667747458
2021-07-13 12:00:00,A,123.0,129.0,111.78156422058214,127.11946073416951
2021-07-13 13:00:00,A,107.0,112.0,170.4123370121621,178.75258289098622
2021-07-13 14:00:00,A,150.0,174.0,174.81989977960873,181.19036820653392
2021-07-13 15:00:00,A,181.0,186.0,160.7611935286055,175.9179923812262
2021-07-13 16:00:00,A,174.0,181.0,165.66239638691027,178.97701651308975
2021-07-13 17:00:00,A,143.0,147.0,134.2314709132219,158.21314660332325
2021-07-13 18:00:00,A,152.0,160.0,159.78858328683563,168.6910963681466
2021-07-13 19:00:00,A,174.0,187.0,156.0489295392612,158.47636315734064
2021-07-13 20:00:00,A,175.0,189.0,133.04940606835484,129.78699656375238
2021-07-13 21:00:00,A,174.0,179.0,125.78692960929611,129.01400175114958
2021-07-13 22:00:00,A,178.0,187.0,115.17685188228893,118.91124995704504
2021-07-13 23:00:00,A,188.0,190.0,107.46829879884169,118.35371934506549
2021-07-15 00:00:00,A,67.0,70.0,70.05519832179897,72.2351206863634
2021-07-15 01:00:00,A,90.0,106.0,103.62242367269502,112.75524897968965
2021-07-15 02:00:00,A,111.0,119.0,107.97073918770118,113.6393833783193
2021-07-15 03:00:00,A,109.0,111.0,105.2667099719798,113.52834570228315
2021-07-15 04:00:00,A,110.0,121.0,104.9139965927973,111.4912699064695
2021-07-15 05:00:00,A,88.0,96.0,124.92727052312509,123.92598255041393
2021-07-15 06:00:00,A,103.0,108.0,124.41350054398261,118.7882736940726
2021-07-15 07:00:00,A,107.0,110.0,129.32341469505795,155.5598821634675
2021-07-15 08:00:00,A,134.0,144.0,172.32475377282725,179.42308196207722
2021-07-15 09:00:00,A,113.0,120.0,173.89404970766927,180.11139541355308
2021-07-15 10:00:00,A,108.0,110.0,169.8919268631885,178.73518391341912
2021-07-15 11:00:00,A,134.0,168.0,175.57164565718762,182.67366443691867
2021-07-15 12:00:00,A,118.0,123.0,126.18565134928718,117.45543477357907
2021-07-15 13:00:00,A,122.0,130.0,171.1815134833004,178.9845307024055
2021-07-15 14:00:00,A,155.0,169.0,170.76716046475767,177.3517544318914
2021-07-15 15:00:00,A,152.0,159.0,163.19296649532444,176.12967998767854
2021-07-15 16:00:00,A,184.0,193.0,158.78268783667602,174.33631649536684
2021-07-15 17:00:00,A,172.0,174.0,135.1182517019044,159.26454688933347
2021-07-15 18:00:00,A,192.0,202.0,155.16348811355203,161.99521785655114
2021-07-15 19:00:00,A,160.0,162.0,151.89532405883722,154.5723904357089
2021-07-15 20:00:00,A,155.0,166.0,141.2160515811479,136.35214127615177
2021-07-15 21:00:00,A,187.0,190.0,142.24445138417707,137.36139773249565
2021-07-15 22:00:00,A,198.0,202.0,147.15281773961374,128.32931258230553
2021-07-15 23:00:00,A,187.0,193.0,142.49067958651864,128.81180936540903
2021-07-13 00:00:00,R,69.0,70.0,23.12942304331129,23.63056986601488
2021-07-13 01:00:00,R,96.0,119.0,22.45263817070131,22.59304845358274
2021-07-13 02:00:00,R,112.0,117.0,22.35041284885962,22.677158431173332
2021-07-13 03:00:00,R,110.0,115.0,22.2177174437036,22.356046327155916
2021-07-13 04:00:00,R,106.0,112.0,22.388778855244304,22.712245452953233
2021-07-13 05:00:00,R,143.0,162.0,22.209170508705967,23.262260205211305
2021-07-13 06:00:00,R,123.0,125.0,21.85279470757355,23.26630817956861
2021-07-13 07:00:00,R,111.0,113.0,22.113080651649604,22.582821415060764
2021-07-13 08:00:00,R,102.0,112.0,22.158162976148745,23.68715279535201
2021-07-13 09:00:00,R,112.0,118.0,22.453210820644024,23.54106928139895
2021-07-13 10:00:00,R,124.0,138.0,22.404758015450938,23.33244531293422
2021-07-13 11:00:00,R,139.0,167.0,22.58130640345935,23.57131523753309
2021-07-13 12:00:00,R,123.0,129.0,22.626294016828897,22.842568056413178
2021-07-13 13:00:00,R,107.0,112.0,22.48558281911867,23.07586795271182
2021-07-13 14:00:00,R,150.0,174.0,22.43308904324438,23.1663690822595
2021-07-13 15:00:00,R,181.0,186.0,22.593610468009764,22.89506614023461
2021-07-13 16:00:00,R,174.0,181.0,22.368922421107953,23.188811902393624
2021-07-13 17:00:00,R,143.0,147.0,23.09113500394847,23.4606895485323
2021-07-13 18:00:00,R,152.0,160.0,22.905383640397286,23.114933477270007
2021-07-13 19:00:00,R,174.0,187.0,22.974800130105088,23.371789280484798
2021-07-13 20:00:00,R,175.0,189.0,23.000286961797453,23.453393704715992
2021-07-13 21:00:00,R,174.0,179.0,22.823499569627064,23.479512359455697
2021-07-13 22:00:00,R,178.0,187.0,22.808197397968275,22.8868967425434
2021-07-13 23:00:00,R,188.0,190.0,22.911134353053484,22.973522098984517
