ts,y_avg,pred[A],pred[R],pred[G],pred[RG]
2021-08-02 00:00:00,21.0,22.317641296465872,22.317641296465872,22.317641296465872,22.317641296465872
2021-08-02 01:00:00,21.0,22.19144888199797,22.19144888199797,22.19144888199797,22.19144888199797
2021-08-02 02:00:00,21.0,21.73248247641402,21.73248247641402,21.73248247641402,21.73248247641402
2021-08-02 03:00:00,23.0,21.85058140046965,21.85058140046965,21.85058140046965,21.85058140046965
2021-08-02 04:00:00,21.0,22.237230064444766,22.237230064444766,22.237230064444766,22.237230064444766
2021-08-02 05:00:00,21.0,21.872796956577503,21.872796956577503,21.872796956577503,21.872796956577503
2021-08-02 06:00:00,22.0,21.23598680938069,21.23598680938069,21.23598680938069,21.23598680938069
2021-08-02 07:00:00,21.0,59.47612752957864,21.222242824004766,59.47612752957864,21.222242824004766
2021-08-02 08:00:00,20.0,180.83612999325973,21.743436736364124,21.743436736364124,21.743436736364124
2021-08-02 09:00:00,21.0,176.2980287611484,21.712646307913836,21.712646307913836,21.712646307913836
2021-08-02 10:00:00,22.0,174.1138891686088,22.1644898612835,22.1644898612835,22.1644898612835
2021-08-02 11:00:00,21.0,179.38893481960076,22.272842930815962,22.272842930815962,22.272842930815962
2021-08-02 12:00:00,21.0,107.87067986064585,21.816753243371345,21.816753243371345,21.816753243371345
2021-08-02 13:00:00,22.0,169.8721837012495,21.552491340347636,21.552491340347636,21.552491340347636
2021-08-02 14:00:00,23.0,173.76024533165307,22.007363115950888,22.007363115950888,22.007363115950888
2021-08-02 15:00:00,21.0,156.4109064132026,22.284529752624607,22.284529752624607,22.284529752624607
2021-08-02 16:00:00,21.0,163.56136428495697,21.735944069113295,21.735944069113295,21.735944069113295
2021-08-02 17:00:00,22.0,133.50195244501214,21.906978860479292,21.906978860479292,21.906978860479292
2021-08-02 18:00:00,22.0,158.05256317174738,21.02391375715475,21.02391375715475,21.02391375715475
2021-08-02 19:00:00,21.0,146.36558097421272,21.691489795609066,21.691489795609066,21.691489795609066
2021-08-02 20:00:00,22.0,118.67161918086802,21.639095841897593,21.639095841897593,21.639095841897593
2021-08-02 21:00:00,22.0,118.70514033179685,22.1896059166691,22.1896059166691,22.1896059166691
2021-08-02 22:00:00,22.0,108.70869475253795,21.971833124045467,21.971833124045467,21.971833124045467
2021-08-02 23:00:00,21.0,98.30033877648279,21.714425763696163,21.714425763696163,21.714425763696163
2021-08-03 00:00:00,21.0,60.868828801323495,22.648742190917964,60.868828801323495,22.648742190917964
2021-08-03 01:00:00,23.0,100.46899810344149,22.041148933401857,22.041148933401857,22.041148933401857
2021-08-03 02:00:00,21.0,104.68791005258302,21.968774126875253,21.968774126875253,21.968774126875253
2021-08-03 03:00:00,21.0,100.23801638090015,21.788973663119002,21.788973663119002,21.788973663119002
2021-08-03 04:00:00,21.0,100.88977946333402,22.09869487894388,22.09869487894388,22.09869487894388
2021-08-03 05:00:00,22.0,88.49469076598025,22.217569655996307,22.217569655996307,22.217569655996307
2021-08-03 06:00:00,21.0,103.6455484492996,21.587413847843365,21.587413847843365,21.587413847843365
2021-08-03 07:00:00,20.0,132.82486493645104,21.69564375204937,21.69564375204937,21.69564375204937
2021-08-03 08:00:00,22.0,179.82252044085652,21.24087155353036,21.24087155353036,21.24087155353036
2021-08-03 09:00:00,21.0,175.27008214918533,22.065562400531853,22.065562400531853,22.065562400531853
2021-08-03 10:00:00,21.0,175.64726073567317,21.869502157088,21.869502157088,21.869502157088
2021-08-03 11:00:00,22.0,179.38297671856975,21.80140162398432,21.80140162398432,21.80140162398432
2021-08-03 12:00:00,23.0,108.89487284595688,21.897666010620313,21.897666010620313,21.897666010620313
2021-08-03 13:00:00,21.0,174.39922554870492,21.740988563923565,21.740988563923565,21.740988563923565
2021-08-03 14:00:00,21.0,178.34855180282563,21.710001839084626,21.710001839084626,21.710001839084626
2021-08-03 15:00:00,23.0,164.74567388407473,22.05132596789096,22.05132596789096,22.05132596789096
2021-08-03 16:00:00,22.0,168.62743025377233,22.120921280420525,22.120921280420525,22.120921280420525
2021-08-03 17:00:00,21.0,149.94660227263597,21.589186549901854,21.589186549901854,21.589186549901854
2021-08-03 18:00:00,22.0,156.6965546188478,21.538238180316952,21.538238180316952,21.538238180316952
2021-08-03 19:00:00,23.0,150.90125296013332,21.473593966763623,21.473593966763623,21.473593966763623
2021-08-03 20:00:00,21.0,141.18550841664057,21.85061481451163,21.85061481451163,21.85061481451163
2021-08-03 21:00:00,22.0,141.16938118317802,22.03945208462296,22.03945208462296,22.03945208462296
2021-08-03 22:00:00,21.0,119.06584325910963,21.97474929867853,21.97474929867853,21.97474929867853
2021-08-03 23:00:00,23.0,105.06610497567898,22.052021024552843,22.052021024552843,22.052021024552843
