날짜,요일,실제 일평균(가동일),A 예측 일평균,A 08~17시 평균,A 08~17시 가동 배정,R 예측 일평균,R 08~17시 평균,R 08~17시 가동 배정,G 예측 일평균,G 08~17시 평균,G 08~17시 가동 배정,RG 예측 일평균,RG 08~17시 평균,RG 08~17시 가동 배정
2021-09-01,수,139.29166666666666,42.0011178960608,21.317806392487746,0,21.506009464828754,21.317806392487746,0,21.506009464828754,21.317806392487746,0,21.506009464828754,21.317806392487746,0
2021-09-02,목,139.79166666666666,39.91472321289538,21.453549512968358,0,21.607152189148497,21.453549512968358,0,21.607152189148497,21.453549512968358,0,21.607152189148497,21.453549512968358,0
2021-09-03,금,132.375,59.749622452809,21.6457927240162,0,21.7827462012291,21.6457927240162,0,21.7827462012291,21.6457927240162,0,21.7827462012291,21.6457927240162,0
2021-09-06,월,103.83333333333333,108.90169019287771,162.59490501757548,10,22.434375241827638,22.592991603214237,0,22.434375241827638,22.592991603214237,0,22.434375241827638,22.592991603214237,0
2021-09-07,화,136.70833333333334,131.33135890357696,156.5017709354733,10,22.54762517192991,22.655321506770186,0,22.54762517192991,22.655321506770186,0,22.54762517192991,22.655321506770186,0
2021-09-08,수,128.20833333333334,121.27739952069153,129.70627547868136,8,22.255527702986086,22.024486755679217,0,22.255527702986086,22.024486755679217,0,22.255527702986086,22.024486755679217,0
2021-09-09,목,133.91666666666666,134.80880231308933,158.43745756503893,10,22.06763605861593,22.063287689995533,0,22.06763605861593,22.063287689995533,0,22.06763605861593,22.063287689995533,0
2021-09-10,금,134.16666666666666,80.65580251125873,58.67637196572626,3,22.061238447345414,21.88567256535201,0,22.061238447345414,21.88567256535201,0,22.061238447345414,21.88567256535201,0
2021-09-13,월,111.0,107.48117465412075,161.70813517839457,10,22.418295124708095,22.50167640348162,0,22.418295124708095,22.50167640348162,0,22.418295124708095,22.50167640348162,0
2021-09-14,화,132.58333333333334,135.15362743440332,160.97838517058852,10,22.31130618031302,22.29506013138935,0,22.31130618031302,22.29506013138935,0,22.31130618031302,22.29506013138935,0
