날짜,보정된 행(확정 시),현행 예측 일평균,보정 예측 일평균(확정 시),현행 peak_label 시간,보정 peak_label 시간(확정 시),peak_label_cls 시간(보정 안 됨),미확정 시 경고
2021-09-01,6,42.0011178960608,21.506009464828754,0,0,4,PLAN_ZERO_UNCONFIRMED / PLAN_ZERO_AFTER_OPERATING_WEEK
2021-09-02,5,39.91472321289538,21.607152189148497,0,0,0,PLAN_ZERO_UNCONFIRMED / PLAN_ZERO_AFTER_OPERATING_WEEK
2021-09-03,10,59.749622452809,21.7827462012291,0,0,3,PLAN_ZERO_UNCONFIRMED / PLAN_ZERO_AFTER_OPERATING_WEEK
2021-09-06,17,108.90169019287771,22.434375241827638,8,0,8,PLAN_ZERO_UNCONFIRMED / PLAN_ZERO_AFTER_OPERATING_WEEK
2021-09-07,24,131.33135890357696,22.54762517192991,8,0,8,PLAN_ZERO_UNCONFIRMED / PLAN_ZERO_AFTER_OPERATING_WEEK
2021-09-08,22,121.27739952069153,22.255527702986086,6,0,0,PLAN_ZERO_UNCONFIRMED / PLAN_ZERO_AFTER_OPERATING_WEEK
2021-09-09,24,134.80880231308933,22.06763605861593,6,0,5,PLAN_ZERO_UNCONFIRMED / PLAN_ZERO_AFTER_OPERATING_WEEK
2021-09-10,14,80.65580251125873,22.061238447345414,1,0,1,PLAN_ZERO_UNCONFIRMED / PLAN_ZERO_AFTER_OPERATING_WEEK
2021-09-13,17,107.48117465412075,22.418295124708095,7,0,7,PLAN_ZERO_UNCONFIRMED / PLAN_ZERO_AFTER_OPERATING_WEEK
2021-09-14,24,135.15362743440332,22.31130618031302,8,0,7,PLAN_ZERO_UNCONFIRMED / PLAN_ZERO_AFTER_OPERATING_WEEK
