datetime,실측,2단계 레짐(3분류),Random Forest (보정)
2021-09-01 00:00:00,74.0,72.32655267624045,63.78211327561328
2021-09-01 01:00:00,109.0,105.13095100419274,99.5833782843085
2021-09-01 02:00:00,114.0,106.53245807107757,106.20410531823528
2021-09-01 03:00:00,99.0,103.75012307049705,100.46810228263566
2021-09-01 04:00:00,115.0,108.91777278131698,108.31082539602728
2021-09-01 05:00:00,92.0,94.02938910064256,91.51619812999957
2021-09-01 06:00:00,116.0,108.69242127626592,110.47536451737814
2021-09-01 07:00:00,124.0,129.1006004227992,136.68326559243226
2021-09-01 08:00:00,180.0,173.34752701631115,170.0348727682909
2021-09-01 09:00:00,182.0,170.36490801096895,170.41075927143035
2021-09-01 10:00:00,185.0,173.65229611871564,173.07354943043134
2021-09-01 11:00:00,174.0,172.0279338354152,173.2451555476114
2021-09-01 12:00:00,117.0,113.42688492802648,109.66216300063378
2021-09-01 13:00:00,182.0,176.46833242489075,176.6791994949495
2021-09-01 14:00:00,184.0,169.88786722334578,170.72720612448552
2021-09-01 15:00:00,173.0,162.42025090085895,159.09753582528583
2021-09-01 16:00:00,176.0,168.00773818619115,165.2153782051282
2021-09-01 17:00:00,139.0,139.93584496178897,137.74968717687938
2021-09-01 18:00:00,163.0,152.7695936301922,158.12444444444446
2021-09-01 19:00:00,152.0,140.90786214502904,141.84216402116402
2021-09-01 20:00:00,129.0,115.93649986290407,119.77831877778107
2021-09-01 21:00:00,131.0,123.21288660473317,123.39107180119208
2021-09-01 22:00:00,119.0,115.94200322169348,111.31222325247874
2021-09-01 23:00:00,114.0,107.53422502551314,106.45293328383268
2021-09-02 00:00:00,79.0,75.58503382863124,76.82306666666666
2021-09-02 01:00:00,112.0,107.20546856724387,106.4166473306517
2021-09-02 02:00:00,114.0,115.502130272326,112.35357607350855
2021-09-02 03:00:00,106.0,103.89995981538758,100.76699672140204
2021-09-02 04:00:00,114.0,112.2545043059617,110.78176140597328
2021-09-02 05:00:00,93.0,95.36574342101193,94.93455542669636
2021-09-02 06:00:00,115.0,112.61071990707278,115.95336772201786
2021-09-02 07:00:00,141.0,128.9329973331044,130.68156311743812
2021-09-02 08:00:00,166.0,168.5385223963827,175.9665712129505
2021-09-02 09:00:00,184.0,175.70821770563506,175.91943145743144
2021-09-02 10:00:00,179.0,168.64598960746437,175.83734977360118
